epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,2.355529976234436,15.338,2.058271746444702,22.88,98.44668054580688
2,2.0224204482650756,22.662,1.9084388530731202,31.68,86.69068241119385
3,1.9191065101623535,26.746,1.7468560024261475,36.66,109.82843852043152
4,1.8319591820526122,30.298,1.6360508363723756,44.63,1027.5658874511719
5,1.7571766198349,33.082,1.6078061138153077,45.25,1035.1129088401794
