epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,1.9604695545196533,30.08,1.5455773969650268,42.81,104.00986218452454
2,1.3939603557968139,48.9,1.2085595737457275,56.14,86.68250131607056
3,1.0781371914863587,61.24,1.0920699611663818,61.81,84.16756582260132
4,0.8399068944931031,69.998,0.822514433002472,71.43,84.27818012237549
5,0.6716413698768616,76.414,0.6797394289970398,76.71,84.25146126747131
